source,relation,target,explanation,strength,source_basis
EL_OBJECT,has_subtype,IT_TAXPAYER,"Šis informācijas veids var būt KL 329 priekšmets, ja tam ir pierādīts aizsargāts tiesiskais režīms.",core,Senāta apkopojums
EL_OBJECT,has_subtype,IT_CRIMPROC,"Šis informācijas veids var būt KL 329 priekšmets, ja tam ir pierādīts aizsargāts tiesiskais režīms.",core,Senāta apkopojums
EL_OBJECT,has_subtype,IT_CONVICTIONS,"Šis informācijas veids var būt KL 329 priekšmets, ja tam ir pierādīts aizsargāts tiesiskais režīms.",core,Senāta apkopojums
EL_OBJECT,has_subtype,IT_PERSONAL_DATA,"Šis informācijas veids var būt KL 329 priekšmets, ja tam ir pierādīts aizsargāts tiesiskais režīms.",core,Senāta apkopojums
EL_OBJECT,has_subtype,IT_PRIVATE_LIFE,"Šis informācijas veids var būt KL 329 priekšmets, ja tam ir pierādīts aizsargāts tiesiskais režīms.",core,Senāta apkopojums
EL_OBJECT,has_subtype,IT_CASE_MATERIALS,"Šis informācijas veids var būt KL 329 priekšmets, ja tam ir pierādīts aizsargāts tiesiskais režīms.",core,Senāta apkopojums
EL_OBJECT,has_subtype,IT_COURT_RULINGS,"Šis informācijas veids var būt KL 329 priekšmets, ja tam ir pierādīts aizsargāts tiesiskais režīms.",core,Senāta apkopojums
EL_OBJECT,has_subtype,IT_VEHICLE_OWNER,"Šis informācijas veids var būt KL 329 priekšmets, ja tam ir pierādīts aizsargāts tiesiskais režīms.",core,Senāta apkopojums
EL_OBJECT,has_subtype,IT_BORDER_CUSTOMS,"Šis informācijas veids var būt KL 329 priekšmets, ja tam ir pierādīts aizsargāts tiesiskais režīms.",core,Senāta apkopojums
EL_OBJECT,has_subtype,IT_OPERATIONAL,"Šis informācijas veids var būt KL 329 priekšmets, ja tam ir pierādīts aizsargāts tiesiskais režīms.",core,Senāta apkopojums
EL_OBJECT,has_subtype,IT_CONTROL_PLAN,"Šis informācijas veids var būt KL 329 priekšmets, ja tam ir pierādīts aizsargāts tiesiskais režīms.",core,Senāta apkopojums
EL_OBJECT,has_subtype,IT_PROCUREMENT,"Šis informācijas veids var būt KL 329 priekšmets, ja tam ir pierādīts aizsargāts tiesiskais režīms.",core,Senāta apkopojums
LC_KL329,has_element,EL_SUBJECT,KL 329 sastāva pamatelements.,core,
