id,type,label,definition,source_basis,lawyer_use,examples,status
LC_KL329,LegalConcept,KL 329. pants,"Kriminālatbildība par neizpaužamu ziņu izpaušanu, ja to izdara valsts amatpersona, kura bijusi brīdināta vai saskaņā ar likumu atbildīga par ziņu glabāšanu.",Senāta apkopojums 2013-2023,"Pamatmezgls, pie kura piesaista visus sastāva elementus, pierādījumus un aizstāvības argumentus.",,active
EL_SUBJECT,OffenceElement,Speciālais subjekts,"Valsts amatpersona, kas bijusi brīdināta par ziņu neizpaušanu vai saskaņā ar likumu ir atbildīga par ziņu glabāšanu.",KL 329; Senāta apkopojums,"Aizstāvībā pārbaudīt amatpersonas statusu, brīdinājumu un atbildības tiesisko pamatu.",,active
EL_OBJECT,OffenceElement,Noziedzīgā nodarījuma priekšmets,"Neizpaužamas ziņas: informācija, kas nav attiecīgi aizsargājama kā konfidenciāla/slepena/sevišķi slepena valsts noslēpuma informācija, bet kurai normatīvajos aktos vai tiesiskā režīmā paredzēta īpaša izmantošanas kārtība vai izplatīšanas aizliegums.","Senāta apkopojums, SKK-313/2022, SKK-25/2019",Pirmais aizstāvības kontroles punkts: vai tieši konkrētā ziņa vai ziņu kombinācija ir aizsargāta.,,active
EL_ACT,OffenceElement,Objektīvā puse: izpaušana,"Amata pienākumu dēļ pieejamas neizpaužamas informācijas nodošana vai izmantošana ārpus amata pienākumiem tā, ka tā nokļūst pie vēl vismaz vienas personas.","Senāta apkopojums, SKK-147/2017, SKK-313/2022","Nošķirt piekļuvi/iepazīšanos no nodošanas; prasīt adresātu, saturu un nodošanas kanālu.",,active
EL_FORMAL,OffenceElement,Formāls sastāvs,Noziedzīgais nodarījums ir pabeigts ar izpaušanas brīdi neatkarīgi no sekām un izpaustā apjoma.,"Senāta apkopojums, SKK-28/2023, SKK-313/2022","Aizstāvībā nevajadzētu balstīties tikai uz argumentu, ka kaitējums nav iestājies; jāuzbrūk sastāva elementiem.",,active
EL_MENSREA,OffenceElement,Subjektīvā puse: tiešs nodoms,"Persona apzinās informācijas aizsargāto raksturu un to, ka informācija tiek nodota ārpus tiesiskā pamata.",Doktrīna un lietu prakse,"Aizstāvībai jāpārbauda apmācība, brīdinājumi, DVS iepazīšanās, amatpienākumu robežas un kļūdas iespēja.",,active
LC_NOT_BLANKET,LegalRule,KL 329 nav blanketa norma,"Senāts atzinis, ka KL 329 dispozīcijā norādītas sastāva pazīmes, tomēr praksē informācijas režīmu pierāda ar speciāliem normatīvajiem aktiem, iekšējiem sarakstiem un amata dokumentiem.",Senāta apkopojums,"Neļauj aizstāvībai automātiski panākt attaisnošanu tikai tāpēc, ka apsūdzībā nav detalizēti citēta ārējā norma; tomēr informācijas režīma pierādīšana paliek būtiska.",,active
LC_318_COMPETITION,LegalRule,KL 318 un KL 329 normu konkurence,"Ja izpaušana ir dienesta stāvokļa ļaunprātīga izmantošana ar būtisku kaitējumu, piemērojams KL 318 kā plašāka norma; kopība ar KL 329 neveidojas.",SKK-8/2017,"Ļoti svarīgs arguments, ja apsūdzība kvalificē vienu un to pašu izpaušanu gan pēc 318., gan 329. panta.",,active
LC_INSTIGATION,LegalRule,Uzkūdīšana,"Uzkūdīšana var izpausties arī kā konkrēts lūgums vai priekšlikums iegūt/izpaust informāciju, īpaši ja lūdzējs zina par amatpersonas piekļuvi.",SKK-124/2022,Aizstāvībai jānošķir abstrakta interese no konkrēta pamudinājuma iegūt aizsargātu informāciju.,,active
LC_OPERATIVE_PROPORTIONALITY,LegalRule,Operatīvo pierādījumu samērīgums,"Vecākās lietās, kad KL 329 bija kriminālpārkāpums, Senāts prasīja izvērtēt sevišķā veidā iegūtu operatīvo ziņu izmantošanas samērīgumu un pieļaujamību.",SKK-270/2014; SKK-375/2013; SKK-289/2013; SKK-268/2013,Digitālo un operatīvo pierādījumu pieļaujamība ir viens no spēcīgākajiem aizstāvības virzieniem.,,active
